name	prize
Shprh	0.633440694
Eml1	2.410536901
Atad2	0.506258687
Custos	0.511828728
Neurod6	0.537717989
Znf148	0.565563691
Gmppa	0.51369503
Ralbp1	0.538041953
Ncam2	0.674677024
LRWD1	0.813271288
Myo9b	0.690271476
Fbxw8	0.542234431
Dars2	0.541466691
Tceal3	0.513566606
Itgb8	0.67076331
Prph	0.727889025
Hdac8	0.762542498
Pacsin1	1.173215519
Cyp20a1	0.713704313
Man1a2	0.565290417
Nectin1	0.858238991
Igsf21	0.744685668
Cluap1	0.684430146
Med19	0.656071566
Tamm41	0.530712095
Efnb3	0.681572067
Lin9	0.576376409
Pard6g	0.562109148
Surf2	0.778213617
Ckmt1	1.039448549
Hexb	0.59820088
Clk4	0.733501044
Gnpda1	0.723740227
Fbxl20	0.796184988
Sobp	0.689334035
Ube2e3	0.811664166
Ssh1	0.512573197
Sox13	0.620566845
Prkcb	0.885571706
Adgrl3	1.011588094
Snx30	0.521635429
Tma16	0.56765568
Kdm5d	1.384303327
Znf593	0.559137027
Grik2	0.864830456
Retreg3	0.560434768
Dab2	0.938878948
Acsbg1	0.529881183
Snx4	0.58844258
Hsf1	1.104049582
Med30	0.543614337
Recql4	0.775021189
Znf131	0.649646651
Cry2	0.741611138
Prxl2b	0.608285191
Bloc1s4	0.794372578
Lrrc45	0.821389751
Cmc1	0.794744278
Rsl24d1	0.502571433
Suco	0.520338066
Pcgf1	0.976420036
Mt-Cyb	0.969790075
Cspg5	0.792469377
Rbms2	0.624255725
Wdfy1	0.648693018
Rcan1	0.58632193
